rr,il,ol,req_thr,in_thr,out_thr,ttft,tpot,e2e,succ
1,256,128,0.9368901191594442,119.30827222435943,59.0100241552576,19.58443041953489,11.539004116774926,734.1477163891682,200
1,256,512,0.9204359286826078,117.2129133380867,227.6284073428523,16.523661115989004,11.864671748931695,2943.1213508932515,200
1,1024,128,0.9369146739699089,482.4267347738458,59.01157073999471,29.70735869263417,11.777097758234444,758.3309901685236,200
1,1024,512,0.9203537252150755,473.89933665049455,227.60807801431426,16.064194526924087,11.978838725914509,2970.9203443199785,200
1,2048,128,0.9369030584367151,1020.4185970657638,59.010839135636495,39.493707057527864,12.017296497624793,780.9807090074992,200
1,2048,512,0.9199301632849911,1001.9327380402152,227.50332903119474,16.48146498835777,12.149645245711598,3013.4553983357714,200
2,256,128,1.8665690518309699,237.69823590541486,117.56585172957364,15.496867949019451,11.746497465315517,743.3146806117768,200
2,256,512,1.7948701803475324,228.56774311635652,443.8803699508465,17.24531189670727,12.33527145150034,3057.567560684413,200
2,1024,128,1.866471343874321,961.0647596743266,117.55969759392411,15.906768740081123,11.849905926409544,750.2703674166935,200
2,1024,512,1.7943786356031264,923.9435032584058,443.75880847783117,17.22763251795511,12.493500715214934,3096.4576031745037,200
2,2048,128,1.866278862102018,2032.638959869792,117.54757412949562,16.176276971751715,11.98749082117234,758.8997399529973,200
2,2048,512,1.792780187241999,1952.5886131327509,443.3635042058826,17.266829939279873,12.803234373792861,3173.754236115011,200
4,256,128,3.703673415727687,471.64429112584236,233.2758700896084,16.629333398127834,12.204394557022521,773.0195217521128,200
4,256,512,3.415054913293033,434.89016793330126,844.5601553319335,17.27516145139856,12.969421599040711,3214.530825910082,200
4,1024,128,3.7033765868295783,1906.905638324418,233.25717432146098,17.02906003378793,12.308609239512235,780.2527852645582,200
4,1024,512,3.4105855206129894,1756.1445904188345,843.4548521751954,17.71166269352805,13.329029300683722,3303.9461482773368,200
4,2048,128,3.703119098472905,4033.21513491078,233.24095641731594,16.885604106629536,12.494054424448812,791.2059218133866,200
4,2048,512,3.4011196805369175,3704.2954888599784,841.1139025951824,17.999858843980206,14.079890118997156,3488.7952409856316,200
8,256,128,7.283978574724787,927.578251598328,458.7813905290407,17.078511395697756,13.150314463806286,830.0529148682784,200
8,256,512,6.2075726096493495,790.5033339757965,1535.1637442293325,17.583920311063647,14.097978332312339,3490.571042011895,200
8,1024,128,7.280089377223839,3748.590821226327,458.53642942444355,17.17934841141326,13.320778131892006,840.9414719230631,200
8,1024,512,6.175771685430093,3179.9665985448096,1527.2992166652894,18.17484998799105,15.187444009682789,3760.6367780795053,200
8,2048,128,7.2785278086033856,7927.335777462291,458.43807402488426,17.626377335972723,13.651504617859844,863.6157075253394,200
8,2048,512,6.100990555413434,6644.8328535229875,1508.8054693065194,19.698761191685985,18.10072416640547,4471.315887919191,200
12,256,128,10.685480795763434,1360.7425519364945,673.02500792116,17.206485144089445,13.907436900605862,879.2959150002209,200
12,256,512,8.483044106418992,1080.2732517319264,2097.8992227379485,17.74144308679586,15.93420120149515,3939.805425420064,200
12,1024,128,10.677351882770115,5497.875257957159,672.5130083362757,17.483513940892777,14.19827756283791,897.3415242517117,200
12,1024,512,8.34418436688967,4296.503972355159,2063.5585148536493,18.88177308945431,17.97228532058554,4437.536968981179,200
12,2048,128,10.653317041823748,11602.953722931916,670.9991738792687,17.917691679029456,14.767411568200009,932.5768920374162,200
12,2048,512,7.977522919377972,8688.639312411326,1972.8813055767694,20.640170644453573,23.101205202148403,5684.696942928302,200
