rr,il,ol,request_throughput,mean_ttft_ms,mean_tpot_ms,mean_e2e_latency_ms,output_throughput,completed
1,256,128,1.0091489865715748,62.56296848878265,18.53290751549824,1267.6396361319348,67.22445974046545,200
2,256,128,2.0007140380200954,56.429598540998995,19.20368378450854,1310.7587676076218,133.27756564270865,200
4,256,128,3.9091519474257006,56.100238864310086,20.200763556254188,1373.066482548602,260.40815697776304,200
8,256,128,7.478820052972351,57.603822969831526,22.234371617334663,1508.4350961912423,498.2015978287531,200
12,256,128,10.7116543899766,58.99870064575225,24.709148534281677,1670.5570215638727,713.5568571882912,200
1,1024,128,1.0090741041989468,81.01665813010186,18.83155956238368,1307.3773422278464,67.21947145121284,200
2,1024,128,1.9987854251163177,83.60369162168354,20.302836365772006,1408.056205608882,133.1490910941235,200
4,1024,128,3.9055670144368975,83.38281916920096,22.468574007997972,1544.9466745834798,260.1693466667139,200
8,1024,128,7.461028631139713,92.38911833614111,27.56653723080829,1905.1683136075735,497.01642226337196,200
12,1024,128,10.652413237749657,108.12680194620043,35.05366603759327,2368.48412937019,709.6105078326934,200
1,2048,128,1.009069087322292,116.347691193223,19.686421436530924,1402.3886123718694,67.21913725197449,200
2,2048,128,2.000156820511497,120.99171818234026,20.63646606189413,1477.938557737507,133.24044659837338,200
4,2048,128,3.901409884502882,130.084585477598,24.998391264178565,1763.5094194393605,259.8924194561595,200
8,2048,128,7.4419493327378,176.71810597646981,42.63280230356753,2687.7805700385943,495.74545480032856,200
12,2048,128,10.575054745037711,287.56140030920506,79.74815975718056,4444.129123305902,704.4572718406871,200
1,256,512,1.002168500256745,54.54472636338323,18.20889333108804,4804.303468563594,262.38274589471973,200
2,256,512,1.95078678575753,55.38636940997094,18.884859592817442,4985.688082836568,510.7452423131077,200
4,256,512,3.628367535389264,55.95702587161213,20.066393624887365,5273.926444663666,949.9610462779401,200
8,256,512,6.215669119379848,57.08731461316347,21.72594790958592,5674.258637786843,1627.3554104904351,200
12,256,512,8.06959806815903,61.780074541457,23.973192099034712,6144.713713531382,2112.7418182150564,200
1,1024,512,1.0021525689196378,78.35054697003216,18.463247950814303,4893.507731854916,262.37857483169495,200
2,1024,512,1.9502882303809135,79.2961260676384,19.64546531862824,5204.545290656388,510.6147130371789,200
4,1024,512,3.63057869061232,84.2199169518426,21.663735879277528,5723.747645886615,950.5399598826646,200
8,1024,512,6.15083798196872,94.22311367001384,26.00660395591654,6767.463215524331,1610.3816462491404,200
12,1024,512,7.843495145734797,111.29537108819932,31.90294955768313,8070.427205641755,2053.544681580556,200
1,2048,512,1.0017913834141066,114.57648311275989,19.192476392164885,5119.196303812787,262.2840110485643,200
2,2048,512,1.9454624748317428,121.86937591060996,20.873459036161513,5559.0988037223,509.35125784807275,200
4,2048,512,3.604751380789183,131.83618630748242,25.304533092268382,6712.494195513427,943.7779827613199,200
8,2048,512,5.9356691253067595,195.79371454194188,39.26241687843361,9936.658399612643,1554.0472120421894,200
12,2048,512,7.2650558996255565,287.38591882865876,61.7769605137302,12205.10836517904,1902.100610360465,200
