rr,il,ol,request_throughput,mean_ttft_ms,mean_tpot_ms,mean_e2e_latency_ms,output_throughput,completed,experiment,source_file
1,256,128,1.0090049286317235,30.96200959291309,11.418212066733812,780.6574822263792,67.21486332080227,200,Non-PD DP=2,/mnt/nfs02/users/tjiang/Gitrepo/sglang/non_pd_dp2_sweep_20260611/sglang-oai_nonpd_dp2_rr1_il256_ol128.jsonl
1,256,128,1.0091489865715748,62.56296848878265,18.53290751549824,1267.6396361319348,67.22445974046545,200,Non-PD TP=2,/mnt/nfs02/users/tjiang/Gitrepo/sglang/non_pd_tp2_sweep_20260611/sglang-oai_nonpd_tp2_rr1_il256_ol128.jsonl
1,256,128,1.008973801969776,44.01110118255019,11.43686799358906,794.8083460703492,67.21278981821663,200,PD-separated,/mnt/nfs02/users/tjiang/Gitrepo/sglang/real_pd_sweep_20260610_flush_cache/summary_metrics_flush_cache.csv
2,256,128,2.0167992952394194,30.833990718238056,11.531943040344819,788.9825486345217,134.34908505237394,200,Non-PD DP=2,/mnt/nfs02/users/tjiang/Gitrepo/sglang/non_pd_dp2_sweep_20260611/sglang-oai_nonpd_dp2_rr2_il256_ol128.jsonl
2,256,128,2.0007140380200954,56.429598540998995,19.20368378450854,1310.7587676076218,133.27756564270865,200,Non-PD TP=2,/mnt/nfs02/users/tjiang/Gitrepo/sglang/non_pd_tp2_sweep_20260611/sglang-oai_nonpd_tp2_rr2_il256_ol128.jsonl
2,256,128,2.0164162881961354,47.90678947698325,11.57449496862922,805.6423518806696,134.32357103818555,200,PD-separated,/mnt/nfs02/users/tjiang/Gitrepo/sglang/real_pd_sweep_20260610_flush_cache/summary_metrics_flush_cache.csv
4,256,128,3.974031067646523,36.68119216803461,11.868305889461618,815.5079238722101,264.73007957127317,200,Non-PD DP=2,/mnt/nfs02/users/tjiang/Gitrepo/sglang/non_pd_dp2_sweep_20260611/sglang-oai_nonpd_dp2_rr4_il256_ol128.jsonl
4,256,128,3.9091519474257006,56.100238864310086,20.200763556254188,1373.066482548602,260.40815697776304,200,Non-PD TP=2,/mnt/nfs02/users/tjiang/Gitrepo/sglang/non_pd_tp2_sweep_20260611/sglang-oai_nonpd_tp2_rr4_il256_ol128.jsonl
4,256,128,3.969706153865191,53.34873467218131,11.825581917207955,826.2372088944539,264.4419754397297,200,PD-separated,/mnt/nfs02/users/tjiang/Gitrepo/sglang/real_pd_sweep_20260610_flush_cache/summary_metrics_flush_cache.csv
8,256,128,7.715635730239556,40.46136314980686,12.561441803908,864.2684944998473,513.9770741699081,200,Non-PD DP=2,/mnt/nfs02/users/tjiang/Gitrepo/sglang/non_pd_dp2_sweep_20260611/sglang-oai_nonpd_dp2_rr8_il256_ol128.jsonl
8,256,128,7.478820052972351,57.603822969831526,22.234371617334663,1508.4350961912423,498.2015978287531,200,Non-PD TP=2,/mnt/nfs02/users/tjiang/Gitrepo/sglang/non_pd_tp2_sweep_20260611/sglang-oai_nonpd_tp2_rr8_il256_ol128.jsonl
8,256,128,7.700448872407702,55.97412270959467,12.195853625664464,852.2675419179723,512.9654016354391,200,PD-separated,/mnt/nfs02/users/tjiang/Gitrepo/sglang/real_pd_sweep_20260610_flush_cache/summary_metrics_flush_cache.csv
12,256,128,11.229321654201323,40.72881544474512,13.214793379727425,909.8114072624594,748.0412619946212,200,Non-PD DP=2,/mnt/nfs02/users/tjiang/Gitrepo/sglang/non_pd_dp2_sweep_20260611/sglang-oai_nonpd_dp2_rr12_il256_ol128.jsonl
12,256,128,10.7116543899766,58.99870064575225,24.709148534281677,1670.5570215638727,713.5568571882912,200,Non-PD TP=2,/mnt/nfs02/users/tjiang/Gitrepo/sglang/non_pd_tp2_sweep_20260611/sglang-oai_nonpd_tp2_rr12_il256_ol128.jsonl
12,256,128,11.212415973501829,58.75857373699546,12.513117062850831,874.8883791454136,746.9150900748242,200,PD-separated,/mnt/nfs02/users/tjiang/Gitrepo/sglang/real_pd_sweep_20260610_flush_cache/summary_metrics_flush_cache.csv
1,1024,128,1.0089632292694757,47.58976027369499,11.506411881195865,802.9611979890615,67.21208551778612,200,Non-PD DP=2,/mnt/nfs02/users/tjiang/Gitrepo/sglang/non_pd_dp2_sweep_20260611/sglang-oai_nonpd_dp2_rr1_il1024_ol128.jsonl
1,1024,128,1.0090741041989468,81.01665813010186,18.83155956238368,1307.3773422278464,67.21947145121284,200,Non-PD TP=2,/mnt/nfs02/users/tjiang/Gitrepo/sglang/non_pd_tp2_sweep_20260611/sglang-oai_nonpd_tp2_rr1_il1024_ol128.jsonl
1,1024,128,1.0089551883032826,69.43360326811671,11.509326936193531,824.1304660029709,67.21154986882317,200,PD-separated,/mnt/nfs02/users/tjiang/Gitrepo/sglang/real_pd_sweep_20260610_flush_cache/summary_metrics_flush_cache.csv
2,1024,128,2.0168544422819408,51.40786453150213,11.72589930419586,822.7455534087494,134.3527586726115,200,Non-PD DP=2,/mnt/nfs02/users/tjiang/Gitrepo/sglang/non_pd_dp2_sweep_20260611/sglang-oai_nonpd_dp2_rr2_il1024_ol128.jsonl
2,1024,128,1.9987854251163177,83.60369162168354,20.302836365772006,1408.056205608882,133.1490910941235,200,Non-PD TP=2,/mnt/nfs02/users/tjiang/Gitrepo/sglang/non_pd_tp2_sweep_20260611/sglang-oai_nonpd_tp2_rr2_il1024_ol128.jsonl
2,1024,128,2.01587186009351,75.34421466290951,11.661014773019083,838.9196180179715,134.28730396012918,200,PD-separated,/mnt/nfs02/users/tjiang/Gitrepo/sglang/real_pd_sweep_20260610_flush_cache/summary_metrics_flush_cache.csv
4,1024,128,3.9711815082903668,57.25853898562491,12.358601200075125,866.1683455295861,264.54025617476276,200,Non-PD DP=2,/mnt/nfs02/users/tjiang/Gitrepo/sglang/non_pd_dp2_sweep_20260611/sglang-oai_nonpd_dp2_rr4_il1024_ol128.jsonl
4,1024,128,3.9055670144368975,83.38281916920096,22.468574007997972,1544.9466745834798,260.1693466667139,200,Non-PD TP=2,/mnt/nfs02/users/tjiang/Gitrepo/sglang/non_pd_tp2_sweep_20260611/sglang-oai_nonpd_tp2_rr4_il1024_ol128.jsonl
4,1024,128,3.968652581223211,82.92885060887784,11.977258200884537,865.7195749506354,264.3717916981842,200,PD-separated,/mnt/nfs02/users/tjiang/Gitrepo/sglang/real_pd_sweep_20260610_flush_cache/summary_metrics_flush_cache.csv
8,1024,128,7.706061137719859,60.50701525993645,13.656924364160714,958.7820731801912,513.3392626892083,200,Non-PD DP=2,/mnt/nfs02/users/tjiang/Gitrepo/sglang/non_pd_dp2_sweep_20260611/sglang-oai_nonpd_dp2_rr8_il1024_ol128.jsonl
8,1024,128,7.461028631139713,92.38911833614111,27.56653723080829,1905.1683136075735,497.01642226337196,200,Non-PD TP=2,/mnt/nfs02/users/tjiang/Gitrepo/sglang/non_pd_tp2_sweep_20260611/sglang-oai_nonpd_tp2_rr8_il1024_ol128.jsonl
8,1024,128,7.691443707448326,91.91927566193044,12.515659122630089,908.0248484760524,512.3655225716702,200,PD-separated,/mnt/nfs02/users/tjiang/Gitrepo/sglang/real_pd_sweep_20260610_flush_cache/summary_metrics_flush_cache.csv
12,1024,128,11.217579271105267,63.08768501039594,15.348238191446844,1064.5441834861413,747.2590431446773,200,Non-PD DP=2,/mnt/nfs02/users/tjiang/Gitrepo/sglang/non_pd_dp2_sweep_20260611/sglang-oai_nonpd_dp2_rr12_il1024_ol128.jsonl
12,1024,128,10.652413237749657,108.12680194620043,35.05366603759327,2368.48412937019,709.6105078326934,200,Non-PD TP=2,/mnt/nfs02/users/tjiang/Gitrepo/sglang/non_pd_tp2_sweep_20260611/sglang-oai_nonpd_tp2_rr12_il1024_ol128.jsonl
12,1024,128,11.170353171197169,103.77249617595226,12.963854054591922,951.5982697345316,744.1130764992994,200,PD-separated,/mnt/nfs02/users/tjiang/Gitrepo/sglang/real_pd_sweep_20260610_flush_cache/summary_metrics_flush_cache.csv
1,2048,128,1.0089508471599553,71.69657402206212,11.613481373564275,834.8905526008457,67.21126068356043,200,Non-PD DP=2,/mnt/nfs02/users/tjiang/Gitrepo/sglang/non_pd_dp2_sweep_20260611/sglang-oai_nonpd_dp2_rr1_il2048_ol128.jsonl
1,2048,128,1.009069087322292,116.347691193223,19.686421436530924,1402.3886123718694,67.21913725197449,200,Non-PD TP=2,/mnt/nfs02/users/tjiang/Gitrepo/sglang/non_pd_tp2_sweep_20260611/sglang-oai_nonpd_tp2_rr1_il2048_ol128.jsonl
1,2048,128,1.0090292319607386,104.75177442654967,11.617434997467626,866.1217341339216,67.2164822870646,200,PD-separated,/mnt/nfs02/users/tjiang/Gitrepo/sglang/real_pd_sweep_20260610_flush_cache/summary_metrics_flush_cache.csv
2,2048,128,2.0154429395135853,75.94484935048968,12.086622596577214,868.234353736043,134.25873141569747,200,Non-PD DP=2,/mnt/nfs02/users/tjiang/Gitrepo/sglang/non_pd_dp2_sweep_20260611/sglang-oai_nonpd_dp2_rr2_il2048_ol128.jsonl
2,2048,128,2.000156820511497,120.99171818234026,20.63646606189413,1477.938557737507,133.24044659837338,200,Non-PD TP=2,/mnt/nfs02/users/tjiang/Gitrepo/sglang/non_pd_tp2_sweep_20260611/sglang-oai_nonpd_tp2_rr2_il2048_ol128.jsonl
2,2048,128,2.014233192835618,119.41737398505212,11.804899386717944,892.2186393011361,134.1781441407447,200,PD-separated,/mnt/nfs02/users/tjiang/Gitrepo/sglang/real_pd_sweep_20260610_flush_cache/summary_metrics_flush_cache.csv
4,2048,128,3.9669849137321656,84.16245215106755,13.032942440013214,942.3285445850343,264.2607000282682,200,Non-PD DP=2,/mnt/nfs02/users/tjiang/Gitrepo/sglang/non_pd_dp2_sweep_20260611/sglang-oai_nonpd_dp2_rr4_il2048_ol128.jsonl
4,2048,128,3.901409884502882,130.084585477598,24.998391264178565,1763.5094194393605,259.8924194561595,200,Non-PD TP=2,/mnt/nfs02/users/tjiang/Gitrepo/sglang/non_pd_tp2_sweep_20260611/sglang-oai_nonpd_tp2_rr4_il2048_ol128.jsonl
