framework,version,device,op_name,kernel_source,mla_dtype,kv_cache_dtype,num_heads,batch_size,isl,tp_size,step,latency
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_context,triton,float16,float16,64,1,1,1,0,0.010451199859380722
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_context,triton,float16,float16,16,1,1,4,0,0.01043360009789467
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_context,triton,float16,float16,32,1,1,2,0,0.010497599840164185
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_context,triton,float16,float16,8,1,1,8,0,0.010441599786281586
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_context,triton,float16,float16,2,1,1,32,0,0.010422399640083313
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_context,triton,float16,float16,4,1,1,16,0,0.010574399679899215
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_context,triton,float16,float16,64,1,16,1,0,0.012457600235939026
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_context,triton,float16,float16,1,1,1,64,0,0.011291199922561645
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_context,triton,float16,float16,16,1,16,4,0,0.012401600182056428
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_context,triton,float16,float16,8,1,16,8,0,0.012387199699878693
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_context,triton,float16,float16,4,1,16,16,0,0.012460800260305405
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_context,triton,float16,float16,2,1,16,32,0,0.012491200119256973
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_context,triton,float16,float16,1,1,16,64,0,0.012371200323104858
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_context,triton,float16,float16,32,1,16,2,0,0.012505599856376648
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_context,triton,float16,float16,64,1,32,1,0,0.014572800695896148
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_context,triton,float16,float16,32,1,32,2,0,0.013321599364280701
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_context,triton,float16,float16,8,1,32,8,0,0.0125231996178627
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_context,triton,float16,float16,4,1,32,16,0,0.012492799758911132
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_context,triton,float16,float16,2,1,32,32,0,0.01244800016283989
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_context,triton,float16,float16,1,1,32,64,0,0.012449599802494049
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_context,triton,float16,float16,32,1,64,2,0,0.01812639981508255
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_context,triton,float16,float16,8,1,64,8,0,0.016489599645137788
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_context,triton,float16,float16,16,1,32,4,0,0.012880000472068786
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_context,triton,float16,float16,4,1,64,16,0,0.016601599752902985
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_context,triton,float16,float16,2,1,64,32,0,0.01656000018119812
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_context,triton,float16,float16,1,1,64,64,0,0.01655679941177368
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_context,triton,float16,float16,64,1,128,1,0,0.03702239990234375
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_context,triton,float16,float16,32,1,128,2,0,0.026830399036407472
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_context,triton,float16,float16,16,1,128,4,0,0.02476319968700409
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_context,triton,float16,float16,4,1,128,16,0,0.024769599735736846
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_context,triton,float16,float16,2,1,128,32,0,0.024792000651359558
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_context,triton,float16,float16,1,1,128,64,0,0.024668799340724946
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_context,triton,float16,float16,64,1,64,1,0,0.018667200207710268
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_context,triton,float16,float16,64,1,256,1,0,0.08519840240478516
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_context,triton,float16,float16,8,1,128,8,0,0.02481919974088669
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_context,triton,float16,float16,32,1,256,2,0,0.0559984028339386
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_context,triton,float16,float16,4,1,256,16,0,0.04025120139122009
