framework,version,device,op_name,kernel_source,allreduce_dtype,num_gpus,message_size,latency,backend
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,all_reduce,SGLang_CustomAllReduce_graph,float16,2,128,0.009542080163955687,sglang_graph
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,all_reduce,SGLang_CustomAllReduce_eager,float16,2,128,0.023745920658111572,sglang_eager
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,all_reduce,SGLang_CustomAllReduce_graph,float16,2,256,0.009733440279960632,sglang_graph
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,all_reduce,SGLang_CustomAllReduce_eager,float16,2,256,0.02439743995666504,sglang_eager
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,all_reduce,SGLang_CustomAllReduce_graph,float16,2,512,0.009676160216331482,sglang_graph
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,all_reduce,SGLang_CustomAllReduce_eager,float16,2,512,0.018977919816970827,sglang_eager
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,all_reduce,SGLang_CustomAllReduce_graph,float16,2,1024,0.017233599424362183,sglang_graph
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,all_reduce,SGLang_CustomAllReduce_eager,float16,2,1024,0.020530879497528076,sglang_eager
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,all_reduce,SGLang_CustomAllReduce_graph,float16,2,2048,0.019954240322113036,sglang_graph
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,all_reduce,SGLang_CustomAllReduce_eager,float16,2,2048,0.02178368091583252,sglang_eager
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,all_reduce,SGLang_CustomAllReduce_graph,float16,2,4096,0.018796160221099853,sglang_graph
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,all_reduce,SGLang_CustomAllReduce_eager,float16,2,4096,0.021407999992370606,sglang_eager
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,all_reduce,SGLang_CustomAllReduce_graph,float16,2,8192,0.020552959442138672,sglang_graph
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,all_reduce,SGLang_CustomAllReduce_eager,float16,2,8192,0.022817280292510986,sglang_eager
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,all_reduce,SGLang_CustomAllReduce_graph,float16,2,16384,0.020980799198150636,sglang_graph
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,all_reduce,SGLang_CustomAllReduce_eager,float16,2,16384,0.02291775941848755,sglang_eager
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,all_reduce,SGLang_CustomAllReduce_graph,float16,2,32768,0.022595200538635254,sglang_graph
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,all_reduce,SGLang_CustomAllReduce_eager,float16,2,32768,0.0247654390335083,sglang_eager
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,all_reduce,SGLang_CustomAllReduce_graph,float16,2,65536,0.028480639457702638,sglang_graph
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,all_reduce,SGLang_CustomAllReduce_eager,float16,2,65536,0.030763840675354003,sglang_eager
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,all_reduce,SGLang_CustomAllReduce_graph,float16,2,131072,0.040543041229248046,sglang_graph
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,all_reduce,SGLang_CustomAllReduce_eager,float16,2,131072,0.04186880111694336,sglang_eager
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,all_reduce,SGLang_CustomAllReduce_graph,float16,2,262144,0.05565919876098633,sglang_graph
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,all_reduce,SGLang_CustomAllReduce_eager,float16,2,262144,0.0579750394821167,sglang_eager
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,all_reduce,SGLang_CustomAllReduce_graph,float16,2,524288,0.09098464012145996,sglang_graph
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,all_reduce,SGLang_CustomAllReduce_eager,float16,2,524288,0.09297823905944824,sglang_eager
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,all_reduce,SGLang_CustomAllReduce_graph,float16,2,1048576,0.15683744430541993,sglang_graph
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,all_reduce,SGLang_CustomAllReduce_eager,float16,2,1048576,0.16033184051513671,sglang_eager
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,all_reduce,SGLang_CustomAllReduce_graph,float16,2,2097152,0.29630399703979493,sglang_graph
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,all_reduce,SGLang_CustomAllReduce_eager,float16,2,2097152,0.3003884887695313,sglang_eager
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,all_reduce,SGLang_CustomAllReduce_graph,float16,2,4194304,0.566452178955078,sglang_graph
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,all_reduce,SGLang_CustomAllReduce_eager,float16,2,4194304,0.5730006408691406,sglang_eager
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,all_reduce,SGLang_CustomAllReduce_graph,float16,2,8388608,1.118480987548828,sglang_graph
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,all_reduce,SGLang_CustomAllReduce_eager,float16,2,8388608,1.1242070770263672,sglang_eager
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,all_reduce,SGLang_CustomAllReduce_graph,float16,2,16777216,2.217786560058594,sglang_graph
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,all_reduce,SGLang_CustomAllReduce_eager,float16,2,16777216,2.200547790527344,sglang_eager
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,all_reduce,SGLang_CustomAllReduce_graph,float16,2,33554432,4.410750427246094,sglang_graph
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,all_reduce,SGLang_CustomAllReduce_eager,float16,2,33554432,4.407120361328125,sglang_eager
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,all_reduce,SGLang_CustomAllReduce_graph,float16,2,67108864,8.8028564453125,sglang_graph
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,all_reduce,SGLang_CustomAllReduce_eager,float16,2,67108864,8.989486694335938,sglang_eager
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,all_reduce,SGLang_CustomAllReduce_graph,float16,2,134217728,17.59029296875,sglang_graph
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,all_reduce,SGLang_CustomAllReduce_eager,float16,2,134217728,17.915146484375,sglang_eager
