framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,num_key_value_heads,head_dim,beam_width,attn_dtype,kv_cache_dtype,step,latency
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,64,1,64,64,128,1,float16,float16,1,0.045230400562286374
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,64,1,64,64,128,1,float16,float16,7,0.045256000757217404
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,64,1,64,64,128,1,float16,fp8,7,0.045423999428749084
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,64,1,64,64,128,1,float16,float16,15,0.047198399901390076
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,64,1,64,64,128,1,float16,fp8,15,0.046055999398231504
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,64,1,64,64,128,1,float16,fp8,1,0.04538399875164032
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,64,1,64,64,128,1,float16,float16,31,0.04912959933280945
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,64,1,64,64,128,1,float16,fp8,31,0.04711520075798035
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,64,1,64,64,128,1,float16,float16,63,0.07389439940452576
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,64,1,64,64,128,1,float16,fp8,127,0.08003360033035278
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,64,1,64,64,128,1,float16,float16,127,0.20118238925933837
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,64,1,64,64,128,1,float16,float16,3,0.0454255998134613
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,64,1,64,64,128,1,float16,float16,255,0.37768480777740476
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,64,1,64,64,128,1,float16,fp8,255,0.20199520587921144
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,64,1,64,64,128,1,float16,fp8,3,0.047259199619293216
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,1,1,64,64,128,1,float16,float16,1,0.008801600337028504
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,1,1,64,64,128,1,float16,fp8,1,0.01037919968366623
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,1,1,64,64,128,1,float16,float16,3,0.008422400057315826
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,1,1,64,64,128,1,float16,fp8,3,0.010369600355625152
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,64,1,64,64,128,1,float16,fp8,1023,0.7433375835418701
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,1,1,64,64,128,1,float16,float16,7,0.008363199979066848
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,64,1,64,64,128,1,float16,float16,1023,1.4534015655517578
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,1,1,64,64,128,1,float16,float16,15,0.008393599838018417
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,1,1,64,64,128,1,float16,float16,31,0.010320000350475311
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,1,1,64,64,128,1,float16,fp8,31,0.010315199941396713
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,1,1,64,64,128,1,float16,float16,63,0.010345599800348281
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,1,1,64,64,128,1,float16,fp8,63,0.010395199805498124
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,1,1,64,64,128,1,float16,float16,127,0.011350400000810622
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,1,1,64,64,128,1,float16,fp8,7,0.01027040034532547
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,1,1,64,64,128,1,float16,fp8,127,0.01045759990811348
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,1,1,64,64,128,1,float16,float16,255,0.012398400157690049
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,1,1,64,64,128,1,float16,fp8,255,0.012436799705028534
