framework,version,device,op_name,kernel_source,mla_dtype,kv_cache_dtype,num_heads,batch_size,isl,tp_size,step,latency
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,64,1,1,1,1,0.012544000148773193
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,32,1,1,2,1,0.012916800379753113
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,16,1,1,4,1,0.01252480000257492
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,4,1,1,16,1,0.012464000284671784
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,32,1,1,2,3,0.012515200674533844
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,16,1,1,4,3,0.01249760016798973
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,64,1,1,1,3,0.012513600289821625
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,64,1,1,1,7,0.012443199753761292
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,32,1,1,2,7,0.012503999471664428
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,8,1,1,8,1,0.012558400630950928
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,16,1,1,4,7,0.012435200065374375
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,8,1,1,8,7,0.012476799637079239
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,4,1,1,16,7,0.012408000230789185
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,8,1,1,8,3,0.012510399520397186
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,64,1,1,1,15,0.014433600008487701
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,32,1,1,2,15,0.014508800208568573
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,16,1,1,4,15,0.012491200119256973
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,8,1,1,8,15,0.012457600235939026
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,4,1,1,16,15,0.01249760016798973
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,2,1,1,32,1,0.012593600153923034
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,4,1,1,16,3,0.011747200042009354
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,64,1,1,1,31,0.01449120044708252
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,32,1,1,2,31,0.014440000057220459
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,16,1,1,4,31,0.014459200203418732
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,8,1,1,8,31,0.014312000572681427
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,4,1,1,16,31,0.012772800028324127
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,2,1,1,32,31,0.012481600046157837
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,2,1,1,32,7,0.012462399899959564
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,64,1,1,1,63,0.014531199634075165
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,32,1,1,2,63,0.014575999975204468
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,16,1,1,4,63,0.014638400077819825
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,8,1,1,8,63,0.014478400349617004
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,4,1,1,16,63,0.014444799721240997
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,2,1,1,32,63,0.01440960019826889
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,2,1,1,32,3,0.012054400146007537
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,64,1,1,1,127,0.01451680064201355
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,32,1,1,2,127,0.014524799585342408
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,16,1,1,4,127,0.014545600116252898
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,8,1,1,8,127,0.014548799395561219
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,4,1,1,16,127,0.014433600008487701
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,2,1,1,32,127,0.01449120044708252
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,1,1,1,64,1,0.017057600617408752
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,64,1,1,1,255,0.014601600170135499
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,32,1,1,2,255,0.014828799664974213
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,16,1,1,4,255,0.016492800414562227
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,8,1,1,8,255,0.014843200147151948
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,4,1,1,16,255,0.014537599682807923
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,2,1,1,32,255,0.01451680064201355
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,1,1,1,64,255,0.020664000511169435
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,2,1,1,32,15,0.012561599910259246
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,64,1,1,1,511,0.018628799915313722
