framework,version,device,op_name,kernel_source,bmm_dtype,num_tokens,num_heads,latency
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,float16,1,128,0.006588800251483918
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,1,128,0.010035199671983719
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,float16,1,32,0.006412799656391144
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,1,32,0.008441600203514098
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,float16,1,16,0.004220800101757049
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,float16,1,64,0.008540800213813782
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,1,16,0.008310399949550629
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,float16,1,8,0.00451200008392334
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,float16,1,4,0.0040224000811576845
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,1,8,0.007311999797821045
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,float16,1,2,0.004335999861359597
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,float16,1,1,0.004243199899792671
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,1,1,0.006454399973154068
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,2,128,0.01045759990811348
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,2,64,0.008550400286912918
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,float16,2,32,0.004342399910092354
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,1,64,0.008313599973917007
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,float16,2,16,0.00432640016078949
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,float16,2,8,0.004358400031924248
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,2,8,0.007379200309514999
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,2,4,0.007212799787521362
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,float16,2,2,0.004342399910092354
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,2,2,0.007158400118350982
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,float16,2,1,0.003888000175356865
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,2,1,0.006595200300216675
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,float16,4,128,0.008495999872684479
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,4,128,0.01053439974784851
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,float16,4,64,0.00634239986538887
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,4,64,0.008537600189447403
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,float16,4,32,0.004310400038957596
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,4,32,0.008473599702119828
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,float16,4,16,0.004377600178122521
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,4,16,0.006982400268316269
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,float16,4,8,0.004265600070357323
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,4,8,0.00716480016708374
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,float16,4,4,0.004003199934959412
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,4,4,0.006492800265550614
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,float16,4,2,0.004265600070357323
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,2,16,0.0066592000424861904
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,4,2,0.006553599983453751
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,4,1,0.006598400324583054
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,float16,8,128,0.008444800227880477
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,8,128,0.010630399733781815
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,float16,2,4,0.0039680000394582745
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,float16,8,64,0.0063680000603199005
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,float16,8,32,0.004460800066590309
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,8,32,0.008448000252246856
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,float16,8,16,0.00432640016078949
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,1,4,0.006675200164318084
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,8,16,0.00827839970588684
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,8,8,0.007174400240182876
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,float16,8,4,0.004156799986958504
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,8,4,0.006723199784755707
