rr,il,ol,hisim_req_thr,sg_req_thr,hisim_ttft,sg_ttft,hisim_tpot,sg_tpot,hisim_e2e,sg_e2e,hisim_prefix_reuse
1,256,128,0.9368890582562073,1.008973801969776,19.644142912809706,44.01110118255019,11.54097901770599,11.43686799358906,734.3269930233199,794.8083460703492,0.016608425929561427
2,256,128,1.8663501406798264,2.0164162881961354,21.387831872760515,47.90678947698325,11.887724831483448,11.574494968629221,757.4573731897002,805.6423518806696,0.016608425929561427
4,256,128,3.703571943172726,3.9697061538651908,22.91787308203594,53.34873467218131,12.477354653031536,11.825581917207955,796.2409577891968,826.2372088944539,0.016608425929561427
8,256,128,7.278518336363477,7.700448872407702,23.446211451592507,55.97412270959467,13.768648128046832,12.195853625664464,877.0774183941653,852.2675419179723,0.016608425929561427
12,256,128,10.65876965089586,11.212415973501827,24.40256889220424,58.75857373699546,15.014178692036303,12.513117062850833,953.8001068470363,874.8883791454136,0.016608425929561427
1,1024,128,0.9369055943036368,1.0089551883032826,37.0805140186895,69.43360326811671,11.860105361498915,11.509326936193533,770.5239232533629,824.1304660029709,0.006816725252956827
2,1024,128,1.866247936629014,2.01587186009351,39.6694715121368,75.34421466290951,12.454291002661655,11.661014773019085,811.1144253644571,838.9196180179715,0.006816725252956827
4,1024,128,3.7026578281109477,3.968652581223211,41.730678859377036,82.92885060887784,13.659533328554305,11.977258200884537,883.6243806791981,865.7195749506354,0.006816725252956827
8,1024,128,7.270955395863193,7.691443707448326,45.09771140333398,91.91927566193044,16.70400554158171,12.515659122630087,1065.7158531544478,908.0248484760523,0.006816725252956827
12,1024,128,10.567711039576459,11.170353171197167,48.58182376687056,103.77249617595226,20.118300074865225,12.963854054591922,1280.0031440771158,951.5982697345316,0.006816725252956827
1,2048,128,0.9368792600219502,1.0090292319607386,62.911678102969795,104.75177442654967,12.33045635570366,11.617434997467626,822.0219534067616,866.1217341339216,0.007923682905778872
2,2048,128,1.8661927531232156,2.014233192835618,67.22393727584654,119.41737398505211,13.49121001117003,11.804899386717944,895.7467784157199,892.2186393011361,0.007923682905778872
4,2048,128,3.702162959460713,3.962019895899459,72.89298249223731,132.58566244505346,15.907597250663253,12.215847195588653,1046.2016802465562,931.2587012723088,0.007923682905778872
8,2048,128,7.222081650297124,7.650365629651384,87.00470774231819,163.52198544889688,23.594000151709334,12.970222211435713,1491.8784864915328,1010.5967764556407,0.007923682905778872
12,2048,128,10.387898382386842,11.135364239512107,120.59482703894543,223.25435833539814,41.518378807749464,13.872743286464493,2505.176599853624,1124.4286964461207,0.007923682905778872
1,256,512,0.9203775260793225,1.0070648711542272,22.408446180282105,52.00249798595905,11.932966087228817,11.818458740036967,2965.7173180774234,3130.753635172732,0.016608425929561427
2,256,512,1.7946632903932356,1.9929861605391592,22.9846167820722,55.887113218195736,12.468967039203328,12.167360943663082,3096.1500726054023,3226.0057188523933,0.016608425929561427
4,256,512,3.41363993360791,3.8065937717108276,23.31638781192458,59.242360475473106,13.261912632262625,13.188797367449355,3293.0735712649002,3502.9583848593757,0.016608425929561427
8,256,512,6.204066150251424,6.754735555317058,24.050569877650645,66.02338909171522,14.822168811616274,15.126648325342597,3672.732837429171,4029.8959934944287,0.016608425929561427
12,256,512,8.464504318732814,8.850987426785725,24.955480720033396,73.93926416523755,17.08598221277446,16.124737423864957,4222.991704710766,4297.978409719653,0.016608425929561427
1,1024,512,0.9202376864727292,1.0068285876661196,39.88685087419956,80.66028781235218,12.260536001128951,11.970926512166397,3063.7689744180443,3199.4916038261726,0.006816725252956827
2,1024,512,1.7939632740432931,1.9918900279440843,41.015288515257424,83.89783240389079,13.099230106786033,12.451426713883743,3266.820961322826,3330.3102554380894,0.006816725252956827
4,1024,512,3.4084333983463577,3.793215004954975,42.53772095170601,90.09143728297204,14.672476843226296,13.901687145508014,3661.018945629334,3725.3360243095085,0.006816725252956827
8,1024,512,6.1412586033766905,6.6354042936821855,46.24809416969664,106.1088248854503,19.61980267621934,16.50445007645861,4875.393762528644,4440.413452847861,0.006816725252956827
12,1024,512,8.132479812063323,8.588700086260854,50.432122937706104,118.96674252580851,26.048739808429307,18.090918624908657,6349.392006938959,4868.711865697987,0.006816725252956827
1,2048,512,0.9196197934725887,1.0064774844472044,65.79636460181631,116.75857765134424,12.769745387935913,12.198437407551372,3213.9990560353713,3295.8737840224057,0.007923682905778872
2,2048,512,1.7912069638760022,1.9900573412900726,68.34618888661855,125.35735161509365,14.283854611744546,12.902135568011008,3571.7402318823656,3485.27715603821,0.007923682905778872
4,2048,512,3.3935797908650973,3.7758870873944566,74.29104292248435,140.34071271307766,17.692139720434582,14.893978013361815,4417.437471180001,4045.3124971641223,0.007923682905778872
8,2048,512,5.8657250493323,6.453026129083835,89.98718031702235,199.50270113069564,34.61599539417547,18.6372383325428,8354.805629650537,5112.718094959855,0.007923682905778872
12,2048,512,7.081685029381979,8.150524349102323,123.728111826136,250.06902955472472,48.94582286987761,21.24603250772629,11044.075990929983,5819.430904863402,0.007923682905778872
